cantaber oceanus
oceanus cantaber
cantiihaus portus
portus cantiihaus
canthi sinus
sinus canthi
cappadox river
river cappadox
capria lake
lake capria
caput bovis
bovis caput
caput vada
vada caput
carmelus mons
mons carmelus
caron portus
portus caron
carpates mons
mons carpates
carpathium mare
mare carpathium
carrea potentia
potentia carrea
carrha flumen
flumen carrha
carthago nova
nova carthago
carthago vetus
vetus carthago
carus vicus
vicus carus
casia regio
regio casia
casii montes
montes casii
casius mons
mons casius
caspeiria ins
ins caspeiria
caspiae portae
portae caspiae
caspiae pylae
pylae caspiae
caspii montes
montes caspii
caspium mare
mare caspium
castalia fons
fons castalia
castellum amerinum
amerinum castellum
castellum caracenorum
caracenorum castellum
castellum firmanum
firmanum castellum
castellum menapiorum
menapiorum castellum
castellum valentiniani
valentiniani castellum
castoli campus
campus castoli
castra cornelia
cornelia castra
castra exploratorum
exploratorum castra
castra hannibalis
hannibalis castra
castra herculis
herculis castra
castra nova
nova castra
castra postumiana
postumiana castra
castra pyrrhi
pyrrhi castra
castra trajana
trajana castra
castra vetera
vetera castra
castrum album
album castrum
castrum inui
inui castrum
castrum minervae
minervae castrum
castrum novum
novum castrum
castrum truentinum
truentinum castrum
castrum vergium
vergium castrum
castulonensis saltus
saltus castulonensis
caucasiae portae
portae caucasiae
caucasus indicus
indicus caucasus
caystri campus
campus caystri
cebenna mons
mons cebenna
celaenus tumulus
tumulus celaenus
celticum promontorium
promontorium celticum
cephissis lacus
lacus cephissis
cepi milesiorum
milesiorum cepi
ceramon agora
agora ceramon
ceraunii montes
montes ceraunii
cetius mons
mons cetius
chaldaici lacus
lacus chaldaici
chaldone promontorium
promontorium chaldone
charax mediae
mediae charax
charax spasinu
spasinu charax
chelidoniae insulae
insulae chelidoniae
chelonides lacus
lacus chelonides
chersonesus cimbrica
cimbrica chersonesus
chersonesus heracleotica
heracleotica chersonesus
chersonesus magna
magna chersonesus
chersonesus taurica
taurica chersonesus
chersonesus thracica
thracica chersonesus
chersonesi promontorium
promontorium chersonesi
cholon teichos
teichos cholon
chryse regio
regio chryse
cianus sinus
sinus cianus
ciliciae pylae
pylae ciliciae
cillanius campus
campus cillanius
cimbrorum promontorium
promontorium cimbrorum
claudius mons
mons claudius
clepsydra fons
fons clepsydra
climax mons
mons climax
cnacalus mons
mons cnacalus
codanus sinus
sinus codanus
colchi indiae
indiae colchi
colchicus sinus
sinus colchicus
collops magnus
magnus collops
colonia agrippina
agrippina colonia
colonia equestris noiodunum
noiodunum colonia equestris
colonia trajana
trajana colonia
colonus agoraeus
agoraeus colonus
colonus hippius
hippius colonus
combusta insula
insula combusta
concordia julia
julia concordia
constantia cypri
cypri constantia
constantia phoeniciae
phoeniciae constantia
contra aginnum
aginnum contra
copais lacus
lacus copais
coracius mons
mons coracius
coraxici montes
montes coraxici
corbulonis munimentum
munimentum corbulonis
corcyra nigra
nigra corcyra
corinthiacus isthmus
isthmus corinthiacus
corinthiacus sinus
sinus corinthiacus
corodamum prom
prom corodamum
coronus mons
mons coronus
cotes prom
prom cotes
cottiae alpes
alpes cottiae
cremonis jugum
jugum cremonis
creticum mare
mare creticum
crissaeus sinus
sinus crissaeus
cronius mons
mons cronius
cruptoricis villa
villa cruptoricis
cryptus portus
portus cryptus
ctenus portus
portus ctenus
cunarus mons
mons cunarus
cuniculariae insulae
insulae cuniculariae
cyaneae insulae
insulae cyaneae
cylipenus sinus
sinus cylipenus
cyneticum littus
littus cyneticum
cynia lacus
lacus cynia
cyparissius sinus
sinus cyparissius
cyri campus
campus cyri
cyri castra
castra cyri
daemonum insulae
insulae daemonum
damassi montes
montes damassi
dea vocontiorum
vocontiorum dea
decem pagi
pagi decem
deucaledonicus oceanus
oceanus deucaledonicus
diana veteranorum
veteranorum diana
didyma teiche
teiche didyma
didyme insula
insula didyme
didymon teichos
teichos didymon
diodori insula
insula diodori
